                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9971,                 3.0268,                0.99518,                 0.9561,                 10.452,                0.95183,                0.67364,                 0.1107,                0.30068,                0.21509,                  1.126,                 3.2508,                 1.0162,                0.99546,                 9.0613,                0.93709,             0.00065574,             0.00065574,             0.00065574
                      2,                 1.0531,                 2.2683,                 1.0237,                 1.0738,                  8.244,                 1.0027,                0.67181,                 0.5203,                0.60125,                0.38558,                 1.1167,                 2.1856,                 1.1369,                 1.2328,                 7.4942,                 1.0761,              0.0011915,              0.0011915,              0.0011915
                      3,                 1.1373,                  2.118,                 1.0778,                 1.2426,                 7.0388,                 1.0852,                 0.2164,                0.21033,                0.15929,                 0.1056,                 1.0799,                 2.3428,                 1.0716,                 1.2582,                 13.622,                 1.1682,              0.0015952,              0.0015952,              0.0015952
                      4,                 1.0427,                   1.73,                  1.038,                  1.199,                 5.5592,                 1.0726,                0.68281,                0.61165,                0.67015,                0.46163,                 1.1315,                 1.7513,                 1.0691,                 1.2284,                 4.3944,                 1.1004,               0.001406,               0.001406,               0.001406
                      5,                 1.0439,                 1.5703,                 1.0459,                 1.1464,                 4.5814,                 1.0505,                0.64278,                0.57102,                0.62985,                0.37765,                 1.1956,                  1.795,                 1.0984,                  1.356,                 4.0064,                 1.1339,               0.001406,               0.001406,               0.001406
                      6,                0.98135,                 1.3416,                 1.0021,                 1.1058,                 3.7818,                 1.0367,                 0.7029,                0.68968,                    0.7,                0.49562,                0.93914,                 1.2385,                0.98124,                 1.0795,                 3.1348,                0.99609,               0.001208,               0.001208,               0.001208
                      7,                0.93195,                 1.2159,                0.98017,                 1.0922,                 3.2812,                0.99941,                0.72311,                0.74204,                0.77869,                0.55109,                 1.0025,                 1.1452,                  1.014,                 1.1153,                 2.6418,                 1.0283,                0.00101,                0.00101,                0.00101
                      8,                0.86416,                 1.0773,                0.95758,                0.98973,                 2.8485,                0.97782,                 0.7739,                0.69742,                0.81325,                0.62147,                0.92507,                  1.021,                0.97968,                 1.0108,                 2.2834,                0.99832,               0.000812,               0.000812,               0.000812
                      9,                0.84047,                 1.0208,                0.94976,                0.95253,                 2.5289,                0.96701,                0.78914,                0.70431,                0.80352,                0.62352,                0.82213,                0.93161,                0.93943,                0.89915,                 2.1343,                 0.9467,               0.000614,               0.000614,               0.000614
                     10,                0.75229,                0.90426,                0.91658,                 0.8494,                 2.2568,                 0.9218,                0.75048,                 0.8155,                  0.853,                0.69305,                0.77011,                0.86741,                0.93077,                0.80966,                  1.913,                0.92454,               0.000416,               0.000416,               0.000416
